"Category","City","Container","Customer_ID","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_ID","Order_Priority","Postal_Code","Region","Row_ID","Ship_Date","Ship_Mode","State","Discount","Gross_Profit_Ratio","Number_of_Records","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Office Furnishings","Roselle","Small Pack","11","Marcus Dunlap","Home Office","Furniture","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","2010-08-15","90192","Critical","7203","East","21776","2010-08-17","Regular Air","New Jersey","6.00%","-25.50%","1","22","45.00%","($54)","$211 ","$7 ","$9 "
"Scissors, Rulers and Trimmers","Cranston","Small Pack","12","Kara Pace","Home Office","Office Supplies","Fiskars Softgrip Scissors","2012-02-24","90196","High","2907","East","23328","2012-02-26","Regular Air","Rhode Island","4.00%","25.60%","1","8","57.00%","$23 ","$90 ","$3 ","$11 "
"Office Furnishings","Prior Lake","Small Box","14","Gwendolyn F Tyson","Small Business","Furniture","Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock","2010-05-12","86838","Medium","55372","Central","24844","2010-05-14","Regular Air","Minnesota","9.00%","69.00%","1","16","43.00%","$803 ","$1,164 ","$20 ","$79 "
"Pens  and  Art Supplies","Prior Lake","Wrap Bag","14","Gwendolyn F Tyson","Small Business","Office Supplies","Newell 321","2010-05-12","86838","Medium","55372","Central","24846","2010-05-13","Regular Air","Minnesota","8.00%","-108.10%","1","7","56.00%","($24)","$22 ","$2 ","$3 "
"Pens  and  Art Supplies","Prior Lake","Wrap Bag","14","Gwendolyn F Tyson","Small Business","Office Supplies","Newell 351","2010-05-12","86838","Medium","55372","Central","24847","2010-05-13","Regular Air","Minnesota","5.00%","-264.70%","1","4","56.00%","($37)","$14 ","$4 ","$3 "
"Rubber Bands","Prior Lake","Wrap Bag","14","Gwendolyn F Tyson","Small Business","Office Supplies","OIC Colored Binder Clips, Assorted Sizes","2010-05-12","86838","Medium","55372","Central","24848","2010-05-13","Regular Air","Minnesota","5.00%","-5.00%","1","4","36.00%","($1)","$14 ","$2 ","$4 "
"Paper","Prior Lake","Small Box","14","Gwendolyn F Tyson","Small Business","Office Supplies","Xerox 213","2013-05-12","86845","Medium","55372","Central","24845","2013-05-13","Regular Air","Minnesota","1.00%","-150.70%","1","4","37.00%","($45)","$30 ","$8 ","$6 "
"Envelopes","Smithtown","Small Box","15","Timothy Reese","Small Business","Office Supplies","Grip Seal Envelopes","2010-04-08","86837","Critical","11787","East","18181","2010-04-09","Regular Air","New York","0.00%","-178.70%","1","7","38.00%","($60)","$33 ","$5 ","$4 "
"Envelopes","Smithtown","Small Box","15","Timothy Reese","Small Business","Office Supplies","Tyvek  Top-Opening Peel  and  Seel  Envelopes, Gray","2010-05-28","86839","Medium","11787","East","20925","2010-05-28","Regular Air","New York","1.00%","69.00%","1","10","40.00%","$262 ","$380 ","$7 ","$36 "
"Pens  and  Art Supplies","Smithtown","Wrap Bag","15","Timothy Reese","Small Business","Office Supplies","Newell 310","2011-12-04","86840","Medium","11787","East","18263","2011-12-06","Regular Air","New York","3.00%","-6.70%","1","10","56.00%","($1)","$17 ","$1 ","$2 "
"Paper","Smithtown","Small Box","15","Timothy Reese","Small Business","Office Supplies","Xerox 1992","2012-04-29","86841","Medium","11787","East","18554","2012-05-01","Regular Air","New York","4.00%","-126.20%","1","3","36.00%","($24)","$19 ","$5 ","$6 "
"Office Furnishings","Smithtown","Wrap Bag","15","Timothy Reese","Small Business","Furniture","Master Giant Foot Doorstop, Safety Yellow","2013-01-19","86842","Low","11787","East","22781","2013-01-21","Regular Air","New York","0.00%","69.00%","1","4","42.00%","$23 ","$34 ","$4 ","$8 "
"Labels","Smithtown","Small Box","15","Timothy Reese","Small Business","Office Supplies","Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","2013-01-21","86843","Low","11787","East","23287","2013-01-23","Regular Air","New York","7.00%","-456.40%","1","9","39.00%","($174)","$38 ","$7 ","$4 "
"Rubber Bands","Syracuse","Wrap Bag","16","Sarah Ramsey","Small Business","Office Supplies","Staples Gold Paper Clips","2010-02-12","86836","High","13210","East","26267","2010-02-15","Regular Air","New York","4.00%","14.00%","1","6","39.00%","$3 ","$19 ","$2 ","$3 "
"Telephones and Communication","Syracuse","Small Box","16","Sarah Ramsey","Small Business","Technology","StarTAC 7797","2010-02-12","86836","High","13210","East","26268","2010-02-14","Regular Air","New York","5.00%","69.00%","1","10","55.00%","$653 ","$946 ","$3 ","$116 "
"Binders and Binder Accessories","Syracuse","Small Box","16","Sarah Ramsey","Small Business","Office Supplies","GBC Laser Imprintable Binding System Covers, Desert Sand","2013-02-12","86844","High","13210","East","26266","2013-02-15","Express Air","New York","8.00%","7.60%","1","3","38.00%","$3 ","$46 ","$7 ","$14 "
"Pens  and  Art Supplies","Great Falls","Wrap Bag","17","Florence Hsu Schwarz","Small Business","Office Supplies","Dixon My First Ticonderoga Pencil, #2","2011-04-20","90033","Low","59405","West","19359","2011-04-24","Regular Air","Montana","5.00%","-56.00%","1","2","56.00%","($7)","$12 ","$2 ","$6 "
"Appliances","Great Falls","Small Box","17","Florence Hsu Schwarz","Small Business","Office Supplies","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","2012-04-06","90034","Critical","59405","West","20459","2012-04-08","Express Air","Montana","5.00%","-277.20%","1","4","58.00%","($96)","$35 ","$9 ","$8 "
"Office Furnishings","Helena","Small Box","18","Laurie Hanna","Small Business","Furniture","DAX Natural Wood-Tone Poster Frame","2010-05-15","90031","High","59601","West","23890","2010-05-16","Regular Air","Montana","5.00%","69.00%","1","17","49.00%","$314 ","$456 ","$7 ","$26 "
"Appliances","Helena","Small Box","18","Laurie Hanna","Small Business","Office Supplies","Belkin F9M820V08 8 Outlet Surge","2012-05-15","90035","Critical","59601","West","21763","2012-05-16","Express Air","Montana","8.00%","69.00%","1","15","56.00%","$446 ","$646 ","$5 ","$43 "
"Binders and Binder Accessories","Helena","Small Box","18","Laurie Hanna","Small Business","Office Supplies","Fellowes Twister Kit, Gray/Clear, 3/pkg","2012-05-15","90035","Critical","59601","West","21764","2012-05-15","Express Air","Montana","7.00%","-154.40%","1","9","40.00%","($117)","$76 ","$9 ","$8 "
"Rubber Bands","Helena","Wrap Bag","18","Laurie Hanna","Small Business","Office Supplies","Advantus Plastic Paper Clips","2013-05-21","90038","Not Specified","59601","West","24062","2013-05-22","Regular Air","Montana","8.00%","-26.60%","1","13","37.00%","($17)","$66 ","$3 ","$5 "
"Chairs  and  Chairmats","Helena","Jumbo Drum","18","Laurie Hanna","Small Business","Furniture","Office Star Flex Back Scooter Chair with White Frame","2013-10-02","90039","Low","59601","West","20578","2013-10-04","Delivery Truck","Montana","2.00%","4.90%","1","22","71.00%","$126 ","$2,576 ","$30 ","$111 "
"Labels","Helena","Small Box","18","Laurie Hanna","Small Business","Office Supplies","Avery 485","2013-10-02","90039","Low","59601","West","20579","2013-10-04","Regular Air","Montana","1.00%","69.00%","1","17","38.00%","$153 ","$221 ","$1 ","$13 "
"Office Machines","Missoula","Medium Box","19","Jim Rodgers","Small Business","Technology","Hewlett Packard 6S Scientific Calculator","2010-05-21","90032","Not Specified","59801","West","24063","2010-05-23","Regular Air","Montana","7.00%","-49.50%","1","18","39.00%","($115)","$232 ","$9 ","$13 "
"Storage  and  Organization","Bellevue","Large Box","20","Marion Nolan Kaplan","Small Business","Office Supplies","Space Solutions Commercial Steel Shelving","2012-05-31","90036","Not Specified","68005","Central","25082","2012-06-02","Express Air","Nebraska","6.00%","-115.90%","1","13","80.00%","($930)","$802 ","$35 ","$65 "
"Tables","Bellevue","Jumbo Box","20","Marion Nolan Kaplan","Small Business","Furniture","Anderson Hickey Conga Table Tops  and  Accessories","2012-05-31","90036","Not Specified","68005","Central","25083","2012-06-01","Delivery Truck","Nebraska","0.00%","-219.70%","1","1","76.00%","($54)","$24 ","$28 ","$15 "
"Paper","Bellevue","Small Box","20","Marion Nolan Kaplan","Small Business","Office Supplies","Xerox 197","2013-03-07","90037","Medium","68005","Central","25711","2013-03-08","Regular Air","Nebraska","0.00%","-84.30%","1","1","40.00%","($42)","$50 ","$17 ","$31 "
"Office Furnishings","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Furniture","DAX Natural Wood-Tone Poster Frame","2010-05-15","41793","High","10012","East","5890","2010-05-16","Regular Air","New York","5.00%","20.50%","1","70","49.00%","$384 ","$1,877 ","$7 ","$26 "
"Rubber Bands","New York City","Wrap Bag","21","Tony Wilkins Winters","Small Business","Office Supplies","Advantus Plastic Paper Clips","2010-05-21","42949","Not Specified","10012","East","6062","2010-05-22","Regular Air","New York","8.00%","-6.00%","1","58","37.00%","($17)","$293 ","$3 ","$5 "
"Office Machines","New York City","Medium Box","21","Tony Wilkins Winters","Small Business","Technology","Hewlett Packard 6S Scientific Calculator","2010-05-21","42949","Not Specified","10012","East","6063","2010-05-23","Regular Air","New York","7.00%","-12.50%","1","71","39.00%","($115)","$914 ","$9 ","$13 "
"Paper","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Xerox 197","2011-03-07","55269","Medium","10012","East","7711","2011-03-08","Regular Air","New York","0.00%","-84.30%","1","1","40.00%","($42)","$50 ","$17 ","$31 "
"Pens  and  Art Supplies","New York City","Wrap Bag","21","Tony Wilkins Winters","Small Business","Office Supplies","Dixon My First Ticonderoga Pencil, #2","2011-04-20","9895","Low","10012","East","1359","2011-04-24","Regular Air","New York","5.00%","-12.40%","1","9","56.00%","($7)","$55 ","$2 ","$6 "
"Appliances","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","2012-04-06","17860","Critical","10012","East","2459","2012-04-08","Express Air","New York","5.00%","-61.60%","1","18","58.00%","($96)","$156 ","$9 ","$8 "
"Appliances","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Belkin F9M820V08 8 Outlet Surge","2012-05-15","26887","Critical","10012","East","3763","2012-05-16","Express Air","New York","8.00%","17.90%","1","60","56.00%","$462 ","$2,586 ","$5 ","$43 "
"Binders and Binder Accessories","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Fellowes Twister Kit, Gray/Clear, 3/pkg","2012-05-15","26887","Critical","10012","East","3764","2012-05-15","Express Air","New York","7.00%","-38.60%","1","36","40.00%","($117)","$303 ","$9 ","$8 "
"Storage  and  Organization","New York City","Large Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Space Solutions Commercial Steel Shelving","2012-05-31","50533","Not Specified","10012","East","7082","2012-06-02","Express Air","New York","6.00%","-30.10%","1","50","80.00%","($930)","$3,085 ","$35 ","$65 "
"Tables","New York City","Jumbo Box","21","Tony Wilkins Winters","Small Business","Furniture","Anderson Hickey Conga Table Tops  and  Accessories","2012-05-31","50533","Not Specified","10012","East","7083","2012-06-01","Delivery Truck","New York","0.00%","-43.90%","1","5","76.00%","($54)","$122 ","$28 ","$15 "
"Chairs  and  Chairmats","New York City","Jumbo Drum","21","Tony Wilkins Winters","Small Business","Furniture","Office Star Flex Back Scooter Chair with White Frame","2013-10-02","18596","Low","10012","East","2578","2013-10-04","Delivery Truck","New York","2.00%","1.20%","1","88","71.00%","$126 ","$10,304 ","$30 ","$111 "
"Labels","New York City","Small Box","21","Tony Wilkins Winters","Small Business","Office Supplies","Avery 485","2013-10-02","18596","Low","10012","East","2579","2013-10-04","Regular Air","New York","1.00%","25.60%","1","67","38.00%","$223 ","$873 ","$1 ","$13 "
"Office Furnishings","Laguna Hills","Small Pack","23","Lynn Moss","Corporate","Furniture","Nu-Dell Leatherette Frames","2011-11-11","87655","High","92653","West","19249","2011-11-12","Regular Air","California","5.00%","54.80%","1","36","49.00%","$285 ","$519 ","$5 ","$14 "
"Paper","Laguna Hills","Small Box","23","Lynn Moss","Corporate","Office Supplies","Xerox 1979","2011-11-11","87655","High","92653","West","19250","2011-11-12","Regular Air","California","0.00%","69.00%","1","37","40.00%","$859 ","$1,245 ","$9 ","$31 "
"Paper","Laguna Hills","Small Box","23","Lynn Moss","Corporate","Office Supplies","Xerox 1929","2012-09-10","87660","Not Specified","92653","West","18350","2012-09-13","Express Air","California","7.00%","50.40%","1","7","39.00%","$83 ","$165 ","$5 ","$23 "
"Tables","Laguna Hills","Jumbo Box","23","Lynn Moss","Corporate","Furniture","BPI Conference Tables","2013-11-18","87669","Low","92653","West","18478","2013-11-25","Delivery Truck","California","10.00%","22.20%","1","11","71.00%","$354 ","$1,592 ","$80 ","$146 "
"Paper","Laguna Niguel","Small Box","24","Edna Thomas","Corporate","Office Supplies","Xerox 194","2010-01-28","87651","High","92677","West","20631","2010-01-29","Regular Air","California","6.00%","-41.90%","1","1","37.00%","($28)","$67 ","$14 ","$55 "
"Pens  and  Art Supplies","Laguna Niguel","Wrap Bag","24","Edna Thomas","Corporate","Office Supplies","Newell 323","2010-01-28","87651","High","92677","West","20632","2010-01-30","Regular Air","California","2.00%","-235.90%","1","1","59.00%","($5)","$2 ","$2 ","$2 "
"Telephones and Communication","Laguna Niguel","Small Box","24","Edna Thomas","Corporate","Technology","V70","2012-03-02","87656","Not Specified","92677","West","20309","2012-03-04","Regular Air","California","7.00%","69.00%","1","13","59.00%","$1,490 ","$2,159 ","$3 ","$206 "
"Pens  and  Art Supplies","Laguna Niguel","Small Pack","24","Edna Thomas","Corporate","Office Supplies","Boston 1730 StandUp Electric Pencil Sharpener","2012-12-19","87662","High","92677","West","20625","2012-12-20","Regular Air","California","6.00%","-22.10%","1","5","59.00%","($23)","$106 ","$9 ","$21 "
"Appliances","Laguna Niguel","Medium Box","24","Edna Thomas","Corporate","Office Supplies","Harmony HEPA Quiet Air Purifiers","2013-01-13","87663","Critical","92677","West","21196","2013-01-14","Regular Air","California","7.00%","-98.10%","1","8","50.00%","($88)","$90 ","$7 ","$12 "
"Computer Peripherals","Lake Elsinore","Small Pack","25","Virginia Hardison","Corporate","Technology","Imation 3.5 IBM-Formatted Diskettes, 10/Pack","2012-04-18","87657","High","92530","West","21253","2012-04-20","Regular Air","California","2.00%","-381.00%","1","1","68.00%","($27)","$7 ","$4 ","$6 "
"Paper","Lake Elsinore","Small Box","25","Virginia Hardison","Corporate","Office Supplies","Xerox 1992","2012-04-18","87657","High","92530","West","21254","2012-04-20","Regular Air","California","5.00%","-135.50%","1","1","36.00%","($11)","$8 ","$5 ","$6 "
"Appliances","Lake Elsinore","Medium Box","25","Virginia Hardison","Corporate","Office Supplies","3M Office Air Cleaner","2013-07-02","87666","Critical","92530","West","21251","2013-07-04","Regular Air","California","6.00%","49.60%","1","7","50.00%","$87 ","$175 ","$5 ","$26 "
"Storage  and  Organization","Lake Elsinore","Small Box","25","Virginia Hardison","Corporate","Office Supplies","Dual Level, Single-Width Filing Carts","2013-07-02","87666","Critical","92530","West","21252","2013-07-04","Regular Air","California","5.00%","69.00%","1","12","59.00%","$1,268 ","$1,838 ","$7 ","$155 "
"Appliances","Lake Forest","Small Box","26","Marguerite Kane","Corporate","Office Supplies","Belkin 8 Outlet SurgeMaster II Gold Surge Protector","2012-06-27","87658","Medium","92630","West","22410","2012-06-29","Regular Air","California","8.00%","68.00%","1","11","57.00%","$421 ","$619 ","$4 ","$60 "
"Labels","Lake Forest","Small Box","26","Marguerite Kane","Corporate","Office Supplies","Avery 498","2013-09-02","87667","Not Specified","92630","West","22737","2013-09-03","Express Air","California","0.00%","69.00%","1","7","38.00%","$19 ","$28 ","$1 ","$3 "
"Labels","Lake Forest","Small Box","26","Marguerite Kane","Corporate","Office Supplies","Avery 52","2013-12-11","87670","High","92630","West","21292","2013-12-12","Regular Air","California","9.00%","69.00%","1","15","38.00%","$37 ","$54 ","$1 ","$4 "
"Telephones and Communication","Lake Forest","Small Box","26","Marguerite Kane","Corporate","Technology","V 3600 Series","2013-12-11","87670","High","92630","West","21293","2013-12-12","Regular Air","California","6.00%","-50.20%","1","3","58.00%","($86)","$171 ","$9 ","$66 "
"Office Furnishings","Lakewood","Small Box","27","Guy Gallagher","Corporate","Furniture","Eldon Image Series Black Desk Accessories","2010-11-02","87652","Not Specified","90712","West","23967","2010-11-04","Regular Air","California","4.00%","16.20%","1","12","49.00%","$9 ","$55 ","$7 ","$4 "
"Paper","Lakewood","Small Box","27","Guy Gallagher","Corporate","Office Supplies","Xerox 1880","2012-07-12","87659","Low","90712","West","23535","2012-07-14","Regular Air","California","10.00%","-33.00%","1","4","38.00%","($47)","$143 ","$20 ","$35 "
"Paper","Lakewood","Small Box","27","Guy Gallagher","Corporate","Office Supplies","Xerox 194","2012-07-12","87659","Low","90712","West","23536","2012-07-17","Regular Air","California","6.00%","69.00%","1","9","37.00%","$347 ","$502 ","$14 ","$55 "
"Office Furnishings","Lakewood","Small Box","27","Guy Gallagher","Corporate","Furniture","6 Cubicle Wall Clock, Black","2012-10-26","87661","Critical","90712","West","23505","2012-10-26","Express Air","California","0.00%","-83.70%","1","23","49.00%","($171)","$205 ","$8 ","$8 "
"Office Furnishings","Lakewood","Wrap Bag","27","Guy Gallagher","Corporate","Furniture","Coloredge Poster Frame","2012-10-26","87661","Critical","90712","West","23506","2012-10-28","Regular Air","California","6.00%","20.70%","1","11","46.00%","$33 ","$161 ","$5 ","$14 "
"Telephones and Communication","Lakewood","Small Box","27","Guy Gallagher","Corporate","Technology","SC-3160","2013-11-02","87668","Not Specified","90712","West","23968","2013-11-04","Regular Air","California","1.00%","49.00%","1","29","59.00%","$848 ","$1,730 ","$9 ","$66 "
"Pens  and  Art Supplies","Lancaster","Wrap Bag","28","Ronnie McNamara","Corporate","Office Supplies","Newell 346","2011-01-22","87653","High","93534","West","24987","2011-01-23","Regular Air","California","6.00%","-64.70%","1","1","56.00%","($2)","$3 ","$1 ","$3 "
"Appliances","Lancaster","Medium Box","28","Ronnie McNamara","Corporate","Office Supplies","Holmes Harmony HEPA Air Purifier for 17 x 20 Room","2013-04-14","87665","Critical","93534","West","24074","2013-04-16","Regular Air","California","7.00%","12.70%","1","1","42.00%","$29 ","$226 ","$12 ","$225 "
"Telephones and Communication","Lawndale","Small Box","29","Elizabeth Walker","Corporate","Technology","StarTAC Series","2011-01-30","87654","Not Specified","90260","West","25324","2011-02-01","Regular Air","California","8.00%","-73.40%","1","3","55.00%","($121)","$164 ","$4 ","$66 "
"Labels","Lawndale","Small Box","29","Elizabeth Walker","Corporate","Office Supplies","Avery 481","2013-01-30","87664","Not Specified","90260","West","25323","2013-01-31","Regular Air","California","8.00%","-43.80%","1","1","37.00%","($2)","$4 ","$1 ","$3 "
"Paper","Eugene","Small Box","31","Alice Capps","Corporate","Office Supplies","Xerox 1966","2012-08-11","89206","High","97405","West","18877","2012-08-13","Regular Air","Oregon","1.00%","-43.50%","1","15","36.00%","($43)","$100 ","$7 ","$6 "
"Pens  and  Art Supplies","Grants Pass","Small Box","32","Matthew Berman","Corporate","Office Supplies","Hunt Boston Vacuum Mount KS Pencil Sharpener","2010-02-22","89199","High","97526","West","23509","2010-02-23","Regular Air","Oregon","8.00%","34.10%","1","13","59.00%","$145 ","$425 ","$8 ","$35 "
"Office Machines","Grants Pass","Medium Box","32","Matthew Berman","Corporate","Technology","Canon P1-DHIII Palm Printing Calculator","2010-03-27","89200","High","97526","West","23612","2010-03-28","Regular Air","Oregon","1.00%","-89.30%","1","2","40.00%","($36)","$40 ","$9 ","$18 "
"Telephones and Communication","Grants Pass","Small Box","32","Matthew Berman","Corporate","Technology","StarTAC 3000","2010-07-20","89202","Medium","97526","West","23278","2010-07-22","Express Air","Oregon","9.00%","26.80%","1","8","59.00%","$210 ","$784 ","$8 ","$126 "
"Telephones and Communication","Grants Pass","Small Box","32","Matthew Berman","Corporate","Technology","TimeportP7382","2010-09-12","89203","Low","97526","West","19355","2010-09-19","Regular Air","Oregon","6.00%","66.90%","1","22","56.00%","$2,568 ","$3,838 ","$9 ","$206 "
"Paper","Grants Pass","Wrap Bag","32","Matthew Berman","Corporate","Office Supplies","Recycled Desk Saver Line While You Were Out Book, 5 1/2 X 4","2011-10-06","89204","Critical","97526","West","21213","2011-10-08","Regular Air","Oregon","8.00%","64.50%","1","15","39.00%","$86 ","$133 ","$2 ","$9 "
"Copiers and Fax","Grants Pass","Jumbo Drum","32","Matthew Berman","Corporate","Technology","Canon PC940 Copier","2013-06-12","89207","High","97526","West","22221","2013-06-14","Delivery Truck","Oregon","6.00%","16.00%","1","5","38.00%","$345 ","$2,157 ","$49 ","$450 "
"Binders and Binder Accessories","Gresham","Small Box","33","Ricky Hensley","Corporate","Office Supplies","Storex DuraTech Recycled Plastic Frosted Binders","2010-06-15","89201","Not Specified","97030","West","23654","2010-06-17","Regular Air","Oregon","3.00%","-143.90%","1","13","35.00%","($84)","$59 ","$5 ","$4 "
"Pens  and  Art Supplies","Gresham","Wrap Bag","33","Ricky Hensley","Corporate","Office Supplies","Newell 338","2010-06-15","89201","Not Specified","97030","West","23655","2010-06-16","Regular Air","Oregon","4.00%","45.80%","1","18","58.00%","$24 ","$53 ","$1 ","$3 "
"Binders and Binder Accessories","Gresham","Small Box","33","Ricky Hensley","Corporate","Office Supplies","Wilson Jones Turn Tabs Binder Tool for Ring Binders","2012-01-26","89205","Medium","97030","West","25327","2012-01-27","Regular Air","Oregon","5.00%","-309.50%","1","5","39.00%","($75)","$24 ","$5 ","$5 "
"Chairs  and  Chairmats","Gresham","Jumbo Drum","33","Ricky Hensley","Corporate","Furniture","Novimex High-Tech Fabric Mesh Task Chair","2013-08-16","89208","Critical","97030","West","24531","2013-08-18","Delivery Truck","Oregon","5.00%","-25.30%","1","9","78.00%","($162)","$641 ","$30 ","$71 "
"Paper","Gresham","Small Box","33","Ricky Hensley","Corporate","Office Supplies","Staples Copy Paper (20Lb. and 84 Bright)","2013-08-16","89208","Critical","97030","West","24532","2013-08-18","Regular Air","Oregon","5.00%","-32.20%","1","9","38.00%","($15)","$47 ","$5 ","$5 "
"Office Machines","Gresham","Large Box","35","Milton Bland","Small Business","Technology","Polycom ViewStation ISDN Videoconferencing Unit","2012-11-27","91256","Not Specified","97030","West","25223","2012-11-28","Regular Air","Oregon","0.00%","11.20%","1","3","39.00%","$2,397 ","$21,367 ","$24 ","$6,783 "
"Telephones and Communication","Gresham","Small Box","35","Milton Bland","Small Business","Technology","StarTAC 7760","2013-05-28","91257","Low","97030","West","21026","2013-06-02","Regular Air","Oregon","7.00%","42.00%","1","7","59.00%","$166 ","$394 ","$4 ","$66 "
