"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Paper","Hyderabad","Wrap Bag","Asia","India","Judith Townsend","Corporate","Office Supplies","While you Were Out Message Book, One Form per Page","1/4/10","Critical","","International","1/6/10","Express Air","State of Andhra Pradesh","3,144","7.00","1","8,710","42","35.00","3","151","2","4"
"Telephones and Communication","Bedford","Small Box","North America","United States of America","Billie Fowler","Consumer","Technology","232","1/5/10","Critical","76021","Central","1/5/10","Regular Air","Texas","890","4.00","1","89,536","6","55.00","455","660","5","126"
"Telephones and Communication","Seoul","Small Box","Asia","Republic of Korea","Rosemary Hedrick","Consumer","Technology","232","1/5/10","Critical","","International","1/5/10","Regular Air","Soul","882","4.00","1","57,253","25","55.00","267","2,750","5","126"
"Chairs and Chairmats","Dubuque","Jumbo Drum","North America","United States of America","Melinda Rogers","Corporate","Furniture","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","1/5/10","Not Specified","52001","Central","1/6/10","Delivery Truck","Iowa","2,151","8.00","1","90,404","1","55.00","163","249","43","244"
"Chairs and Chairmats","Jaipur","Jumbo Drum","Asia","India","Carole Weinstein","Corporate","Furniture","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","1/5/10","Not Specified","","International","1/6/10","Delivery Truck","Rajhasthan","2,150","8.00","1","32,418","5","55.00","210","1,244","43","244"
"Chairs and Chairmats","Bedford","Jumbo Drum","North America","United States of America","Billie Fowler","Consumer","Furniture","Metal Folding Chairs, Beige, 4/Carton","1/5/10","Critical","76021","Central","1/6/10","Regular Air","Texas","890","8.00","1","89,536","11","58.00","1","20","1","2"
"Tables","Seoul","Jumbo Box","Asia","Republic of Korea","Rosemary Hedrick","Consumer","Furniture","Iceberg OfficeWorks 42 Round Tables","1/5/10","Critical","","International","1/6/10","Regular Air","Soul","882","8.00","1","57,253","49","70.00","223","240","6","5"
"Chairs and Chairmats","Seoul","Jumbo Drum","Asia","Republic of Korea","Rosemary Hedrick","Consumer","Furniture","Metal Folding Chairs, Beige, 4/Carton","1/5/10","Critical","","International","1/6/10","Regular Air","Soul","882","8.00","1","57,253","43","58.00","1","78","1","2"
"Office Furnishings","Norman","Large Box","North America","United States of America","Betsy Puckett","Small Business","Furniture","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","1/5/10","Critical","73071","Central","1/6/10","Regular Air","Oklahoma","2,630","2.00","1","85,914","10","59.00","1,508","2,185","21","210"
"Office Furnishings","Sao Paulo","Large Box","South America","Brazil","Arthur Herring","Small Business","Furniture","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","1/5/10","Critical","","International","1/6/10","Regular Air","Sa_o Paulo","2,627","2.00","1","28,451","41","59.00","1,037","8,958","21","210"
"Storage and Organization","Jeddah","Small Box","Asia","Saudi Arabia","Patsy Merritt","Corporate","Office Supplies","Perma STOR-ALL Hanging File Box, 13 1/8W x 12 1/4D x 10 1/2H","1/5/10","Medium","","International","1/6/10","Regular Air","Makkah","3,329","9.00","1","25,601","43","68.00","210","257","5","6"
"Storage and Organization","Ormond Beach","Small Box","North America","United States of America","Elisabeth Shaw","Corporate","Office Supplies","Perma STOR-ALL Hanging File Box, 13 1/8W x 12 1/4D x 10 1/2H","1/5/10","Medium","32174","South","1/6/10","Regular Air","Florida","3,331","9.00","1","86,283","11","68.00","781","66","5","6"
"Paper","Deer Park","Wrap Bag","North America","United States of America","Ted Dunlap","Home Office","Office Supplies","Rediform Wirebound Phone Memo Message Book, 11 x 5-3/4","1/5/10","Not Specified","11729","East","1/6/10","Regular Air","New York","1,085","5.00","1","86,122","6","36.00","40","47","6","8"
"Paper","Seoul","Wrap Bag","Asia","Republic of Korea","Colleen Rose","Home Office","Office Supplies","Rediform Wirebound Phone Memo Message Book, 11 x 5-3/4","1/5/10","Not Specified","","International","1/6/10","Regular Air","Soul","1,084","5.00","1","290","24","36.00","52","189","6","8"
"Computer Peripherals","Fort Dodge","Small Pack","North America","United States of America","Bobby Powell","Consumer","Technology","Memorex 4.7GB DVD+RW, 3/Pack","1/5/10","High","50501","Central","1/6/10","Regular Air","Iowa","2,206","3.00","1","86,258","2","40.00","35","55","2","28"
"Computer Peripherals","London","Small Pack","Europe","United Kingdom","Marshall Xu","Consumer","Technology","Memorex 4.7GB DVD+RW, 3/Pack","1/5/10","High","N10","International","1/6/10","Regular Air","England","2,205","3.00","1","1,028","6","40.00","46","166","2","28"
"Chairs and Chairmats","Seoul","Jumbo Drum","Asia","Republic of Korea","Rosemary Hedrick","Consumer","Furniture","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","1/5/10","Critical","","International","1/7/10","Delivery Truck","Soul","882","6.00","1","57,253","29","64.00","2,174","654","53","21"
"Office Furnishings","Norman","Large Box","North America","United States of America","Betsy Puckett","Small Business","Furniture","Electrix Halogen Magnifier Lamp","1/5/10","Critical","73071","Central","1/7/10","Regular Air","Oklahoma","2,630","1.00","1","85,914","5","59.00","690","1,000","12","194"
"Office Furnishings","Sao Paulo","Large Box","South America","Brazil","Arthur Herring","Small Business","Furniture","Electrix Halogen Magnifier Lamp","1/5/10","Critical","","International","1/7/10","Regular Air","Sa_o Paulo","2,627","1.00","1","28,451","21","59.00","465","4,201","12","194"
"Office Machines","Mount Prospect","Jumbo Drum","North America","United States of America","Guy McDonald","Home Office","Technology","Canon S750 Color Inkjet Printer","1/5/10","High","60056","Central","1/7/10","Delivery Truck","Illinois","3,125","8.00","1","87,285","2","38.00","234","234","26","121"
"Office Machines","Norman","Jumbo Drum","North America","United States of America","Betsy Puckett","Small Business","Technology","Panasonic KX-P1150 Dot Matrix Printer","1/5/10","Critical","73071","Central","1/7/10","Delivery Truck","Oklahoma","2,630","0.00","1","85,914","8","56.00","802","1,191","18","145"
"Telephones and Communication","Fort Dodge","Small Box","North America","United States of America","Bobby Powell","Consumer","Technology","3285","1/5/10","High","50501","Central","1/7/10","Regular Air","Iowa","2,206","1.00","1","86,258","3","59.00","75","551","6","206"
"Telephones and Communication","London","Small Box","Europe","United Kingdom","Marshall Xu","Consumer","Technology","3285","1/5/10","High","N10","International","1/7/10","Regular Air","England","2,205","1.00","1","1,028","11","59.00","97","2,021","6","206"
"Bookcases","Bristol","Jumbo Box","North America","United States of America","Carlos Byrd","Small Business","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","1/6/10","Low","6010","East","1/6/10","Delivery Truck","Connecticut","783","2.00","1","90,961","6","62.00","135","615","36","101"
"Bookcases","Karachi","Jumbo Box","Asia","Pakistan","Ron Perez","Small Business","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","1/6/10","Low","","International","1/6/10","Delivery Truck","Sindh","781","2.00","1","48,226","23","62.00","174","2,357","36","101"
"Bookcases","Galesburg","Jumbo Box","North America","United States of America","Derek Jernigan","Home Office","Furniture","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","1/6/10","Critical","61401","Central","1/7/10","Delivery Truck","Illinois","1,793","4.00","1","87,853","8","62.00","13,706","6,969","45","881"
"Bookcases","Buenos Aires","Jumbo Box","South America","Argentina","Barbara Lam","Home Office","Furniture","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","1/6/10","Critical","","International","1/7/10","Delivery Truck","Province de Buenos Aires","1,791","4.00","1","23,488","30","62.00","17,686","26,133","45","881"
"Pens and Art Supplies","Pune","Wrap Bag","Asia","India","Laura Duke","Consumer","Office Supplies","Sanford EarthWrite Recycled Pencils, Medium Soft, #2","1/6/10","Critical","","International","1/7/10","Regular Air","Maharashtra","2,412","3.00","1","16,770","17","57.00","0","37","1","2"
"Pens and Art Supplies","Petersburg","Wrap Bag","North America","United States of America","Kyle Fink","Consumer","Office Supplies","Sanford EarthWrite Recycled Pencils, Medium Soft, #2","1/6/10","Critical","23805","South","1/7/10","Regular Air","Virginia","2,418","3.00","1","86,750","4","57.00","1,474","9","1","2"
"Telephones and Communication","Guangzhou","Small Box","Asia","China","Irene Kirkland","Consumer","Technology","Accessory35","1/6/10","Not Specified","","International","1/7/10","Regular Air","Guangdong Sheng","798","3.00","1","14,274","2","55.00","262","62","1","36"
"Computer Peripherals","Tokyo","Small Pack","Asia","Japan","Carol Clayton","Consumer","Technology","BASF Silver 74 Minute CD-R","1/6/10","Not Specified","","International","1/7/10","Regular Air","Tokyo","3,281","6.00","1","16,961","27","51.00","59","47","2","2"
"Telephones and Communication","Hilton Head Island","Small Box","North America","United States of America","Lee McKenna Gregory","Consumer","Technology","Accessory35","1/6/10","Not Specified","29915","South","1/7/10","Regular Air","South Carolina","799","3.00","1","89,909","1","55.00","211","31","1","36"
"Computer Peripherals","Herndon","Small Pack","North America","United States of America","Ricky Garner","Consumer","Technology","BASF Silver 74 Minute CD-R","1/6/10","Not Specified","20170","South","1/7/10","Regular Air","Virginia","3,285","6.00","1","90,750","7","51.00","80","12","2","2"
"Chairs and Chairmats","Guangzhou","Jumbo Drum","Asia","China","Irene Kirkland","Consumer","Furniture","Novimex Swivel Fabric Task Chair","1/6/10","Not Specified","","International","1/8/10","Delivery Truck","Guangdong Sheng","798","1.00","1","14,274","23","74.00","45","3,674","30","151"
"Chairs and Chairmats","Hilton Head Island","Jumbo Drum","North America","United States of America","Lee McKenna Gregory","Consumer","Furniture","Novimex Swivel Fabric Task Chair","1/6/10","Not Specified","29915","South","1/8/10","Delivery Truck","South Carolina","799","1.00","1","89,909","6","74.00","131","958","30","151"
"Office Furnishings","Beijing","Small Pack","Asia","China","Geraldine Case","Consumer","Furniture","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","1/6/10","Medium","","International","1/8/10","Express Air","Beijing","3,346","5.00","1","6,854","19","37.00","1","130","5","7"
"Office Furnishings","Royal Palm Beach","Small Pack","North America","United States of America","Carrie McIntosh","Consumer","Furniture","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","1/6/10","Medium","33411","South","1/8/10","Express Air","Florida","3,347","5.00","1","89,355","5","37.00","93","34","5","7"
"Binders and Binder Accessories","Royal Palm Beach","Small Box","North America","United States of America","Carrie McIntosh","Consumer","Office Supplies","GBC VeloBinder Strips","1/6/10","Medium","33411","South","1/8/10","Express Air","Florida","3,347","7.00","1","89,355","1","35.00","126","22","6","8"
"Storage and Organization","Guangzhou","Medium Box","Asia","China","Irene Kirkland","Consumer","Office Supplies","Eldon Portable Mobile Manager","1/6/10","Not Specified","","International","1/8/10","Express Air","Guangdong Sheng","798","1.00","1","14,274","46","58.00","65","1,414","14","28"
"Storage and Organization","Hilton Head Island","Medium Box","North America","United States of America","Lee McKenna Gregory","Consumer","Office Supplies","Eldon Portable Mobile Manager","1/6/10","Not Specified","29915","South","1/8/10","Express Air","South Carolina","799","1.00","1","89,909","12","58.00","89","369","14","28"
"Paper","Tokyo","Small Box","Asia","Japan","Carol Clayton","Consumer","Office Supplies","Xerox 19","1/6/10","Not Specified","","International","1/8/10","Regular Air","Tokyo","3,281","1.00","1","16,961","34","40.00","173","1,090","5","31"
"Paper","Herndon","Small Box","North America","United States of America","Ricky Garner","Consumer","Office Supplies","Xerox 19","1/6/10","Not Specified","20170","South","1/8/10","Regular Air","Virginia","3,285","1.00","1","90,750","9","40.00","896","288","5","31"
"Paper","Cairo","Small Box","Africa","Egypt","Charlie Byrd","Corporate","Office Supplies","Xerox 227","1/6/10","Low","","International","1/8/10","Regular Air","Al Qahirah","2,144","9.00","1","41,094","46","37.00","361","299","9","6"
"Pens and Art Supplies","San Clemente","Wrap Bag","North America","United States of America","Lawrence Dennis","Home Office","Office Supplies","Newell 342","1/6/10","High","92672","West","1/8/10","Regular Air","California","1,782","3.00","1","89,856","7","56.00","91","25","4","3"
"Storage and Organization","Cairo","Large Box","Africa","Egypt","Charlie Byrd","Corporate","Office Supplies","Tennsco Commercial Shelving","1/6/10","Low","","International","1/10/10","Regular Air","Al Qahirah","2,144","5.00","1","41,094","6","84.00","246","159","35","20"
"Storage and Organization","Fairfax","Large Box","North America","United States of America","Courtney Boyd","Corporate","Office Supplies","Tennsco Commercial Shelving","1/6/10","Low","20151","South","1/10/10","Regular Air","Virginia","2,146","5.00","1","87,071","2","84.00","53","53","35","20"
"Binders and Binder Accessories","Moscow","Small Box","Asia","Russian Federation","Marcia Kemp Stein","Consumer","Office Supplies","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11","1/7/10","High","","International","1/8/10","Regular Air","Moskva (city)","650","8.00","1","43,909","46","37.00","319","737","13","16"
"Binders and Binder Accessories","Las Vegas","Small Box","North America","United States of America","Leah Clapp","Consumer","Office Supplies","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11","1/7/10","High","89115","West","1/8/10","Regular Air","Nevada","651","8.00","1","91,575","12","37.00","247","192","13","16"
"Binders and Binder Accessories","Franklin Square","Small Box","North America","United States of America","Don Rogers","Home Office","Office Supplies","Avery Reinforcements for Hole-Punch Pages","1/7/10","Medium","11010","East","1/8/10","Regular Air","New York","1,606","5.00","1","87,993","1","40.00","14","4","5","2"
"Binders and Binder Accessories","Madrid","Small Box","Europe","Spain","Bruce Kahn","Home Office","Office Supplies","Avery Reinforcements for Hole-Punch Pages","1/7/10","Medium","","International","1/8/10","Regular Air","Madrid","1,605","5.00","1","3,073","3","40.00","19","11","5","2"
"Copiers and Fax","Franklin Square","Large Box","North America","United States of America","Don Rogers","Home Office","Technology","Canon PC1060 Personal Laser Copier","1/7/10","Medium","11010","East","1/8/10","Express Air","New York","1,606","7.00","1","87,993","1","41.00","2,870","707","24","700"
"Copiers and Fax","Madrid","Large Box","Europe","Spain","Bruce Kahn","Home Office","Technology","Canon PC1060 Personal Laser Copier","1/7/10","Medium","","International","1/8/10","Express Air","Madrid","1,605","7.00","1","3,073","3","41.00","3,704","2,120","24","700"
"Office Machines","Franklin Square","Large Box","North America","United States of America","Don Rogers","Home Office","Technology","Polycom ViewStation ISDN Videoconferencing Unit","1/7/10","Medium","11010","East","1/8/10","Regular Air","New York","1,606","7.00","1","87,993","2","39.00","78","13,121","24","6,783"
"Office Machines","Madrid","Large Box","Europe","Spain","Bruce Kahn","Home Office","Technology","Polycom ViewStation ISDN Videoconferencing Unit","1/7/10","Medium","","International","1/8/10","Regular Air","Madrid","1,605","7.00","1","3,073","7","39.00","41","45,924","24","6,783"
"Telephones and Communication","Norman","Small Box","North America","United States of America","Betsy Puckett","Small Business","Technology","i1000","1/7/10","High","73071","Central","1/8/10","Regular Air","Oklahoma","2,630","7.00","1","85,915","3","58.00","139","166","6","66"
"Binders and Binder Accessories","Seoul","Small Box","Asia","Republic of Korea","Jordan Hahn","Consumer","Office Supplies","Premium Transparent Presentation Covers by GBC","1/7/10","Medium","","International","1/9/10","Express Air","Soul","1,366","9.00","1","18,405","30","37.00","24","611","9","21"
"Computer Peripherals","Lubbock","Small Box","North America","United States of America","James Hunter","Consumer","Technology","Keytronic French Keyboard","1/7/10","Medium","79424","Central","1/10/10","Regular Air","Texas","1,367","3.00","1","90,513","1","65.00","326","79","15","74"
"Computer Peripherals","Seoul","Small Box","Asia","Republic of Korea","Jordan Hahn","Consumer","Technology","Keytronic French Keyboard","1/7/10","Medium","","International","1/10/10","Regular Air","Soul","1,366","3.00","1","18,405","2","65.00","421","158","15","74"
"Telephones and Communication","Sao Paulo","Small Box","South America","Brazil","Marshall Moody","Small Business","Technology","i1000","1/7/10","Low","","International","1/11/10","Regular Air","Sa_o Paulo","359","5.00","1","33,923","34","58.00","170","1,962","6","66"
"Pens and Art Supplies","Osaka","Wrap Bag","Asia","Japan","Heidi Fisher","Corporate","Office Supplies","Newell 310","1/7/10","Low","","International","1/12/10","Regular Air","_saka","1,801","1.00","1","40,704","6","56.00","3","12","1","2"
"Office Furnishings","Garfield Heights","Small Pack","North America","United States of America","Robyn Lyon","Home Office","Furniture","Executive Impressions 14 Two-Color Numerals Wall Clock","1/8/10","High","44125","East","1/8/10","Regular Air","Ohio","2,908","3.00","1","88,156","1","44.00","17","25","9","23"
"Office Furnishings","Johannesburg","Small Pack","Africa","South Africa","Claude Finch","Home Office","Furniture","Executive Impressions 14 Two-Color Numerals Wall Clock","1/8/10","High","","International","1/8/10","Regular Air","Gauteng","2,906","3.00","1","4,193","3","44.00","26","76","9","23"
"Labels","Garfield Heights","Small Box","North America","United States of America","Robyn Lyon","Home Office","Office Supplies","Avery 491","1/8/10","High","44125","East","1/8/10","Regular Air","Ohio","2,908","7.00","1","88,156","4","39.00","11","16","1","4"
"Appliances","Mexico City","Small Box","North America","Mexico","Joel Erickson","Home Office","Office Supplies","Acco 6 Outlet Guardian Premium Surge Suppressor","1/8/10","Not Specified","","International","1/9/10","Regular Air","Distrito Federal","2,096","7.00","1","30,083","23","58.00","8","324","4","15"
"Appliances","Myrtle Beach","Small Box","North America","United States of America","Nathan Fox","Home Office","Office Supplies","Acco 6 Outlet Guardian Premium Surge Suppressor","1/8/10","Not Specified","29577","South","1/9/10","Regular Air","South Carolina","2,099","7.00","1","87,888","6","58.00","46","85","4","15"
"Binders and Binder Accessories","Edmonds","Small Box","North America","United States of America","Eugene Clayton","Corporate","Office Supplies","GBC DocuBind TL300 Electric Binding System","1/8/10","High","98026","West","1/10/10","Regular Air","Washington","2,868","3.00","1","85,826","6","38.00","3,602","5,220","20","897"
"Pens and Art Supplies","Guiyang","Wrap Bag","Asia","China","Meredith Riley","Small Business","Office Supplies","Newell 337","1/9/10","Not Specified","","International","1/9/10","Regular Air","Guizhou Sheng","2,163","5.00","1","31,715","44","56.00","187","145","4","3"
"Pens and Art Supplies","Pasadena","Wrap Bag","North America","United States of America","Harry Sellers","Small Business","Office Supplies","Newell 337","1/9/10","Not Specified","91104","West","1/9/10","Regular Air","California","2,164","5.00","1","88,794","11","56.00","145","36","4","3"
"Labels","Lawton","Small Box","North America","United States of America","Sherri P Stephens","Home Office","Office Supplies","Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","1/9/10","Not Specified","73505","Central","1/10/10","Regular Air","Oklahoma","1,749","2.00","1","87,243","2","39.00","48","10","7","4"
"Labels","Atlanta","Small Box","North America","United States of America","Herbert Holden","Home Office","Office Supplies","Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","1/9/10","Not Specified","30305","South","1/10/10","Regular Air","Georgia","1,745","2.00","1","18,561","9","39.00","52","46","7","4"
"Binders and Binder Accessories","Guiyang","Small Box","Asia","China","Meredith Riley","Small Business","Office Supplies","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2 X 11","1/9/10","Not Specified","","International","1/10/10","Regular Air","Guizhou Sheng","2,163","1.00","1","31,715","11","36.00","86","69","8","5"
"Binders and Binder Accessories","Pasadena","Small Box","North America","United States of America","Harry Sellers","Small Business","Office Supplies","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2 X 11","1/9/10","Not Specified","91104","West","1/10/10","Regular Air","California","2,164","1.00","1","88,794","3","36.00","67","19","8","5"
