Category,City,Container,Continent,Country Region,Customer Id,Customer Name,Customer Segment,Department,Item,Order Date,Order Id,Order Priority,Postal Code,Region,Row Id,Ship Date,Ship Mode,State,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Bookcases,Waterbury,Jumbo Box,North America,United States of America,1518,Sam Raynor,Consumer,Furniture,Sauder Camden County Collection Library,11/10/13,89960,Critical,6710,East,16128,11/11/13,Delivery Truck,Connecticut,0.05,1,14,0.65,185,"1,608",51,115
Bookcases,Drexel Hill,Jumbo Box,North America,United States of America,1479,Roy Wade,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",8/14/12,90748,Critical,19026,East,9740,8/16/12,Delivery Truck,Pennsylvania,0.08,1,14,0.76,-649,"1,554",59,115
Tables,Upper Saint Clair,Jumbo Box,North America,United States of America,1902,Sara Sykes Davies,Consumer,Furniture,Iceberg OfficeWorks 42 Round Tables,4/6/11,87445,Critical,15241,East,4377,4/7/11,Delivery Truck,Pennsylvania,0.1,1,3,0.7,-365,424,16,151
Tables,Mount Lebanon,Jumbo Box,North America,United States of America,1946,Teresa Wallace,Consumer,Furniture,Iceberg OfficeWorks 42 Round Tables,6/16/11,86332,Critical,15228,East,5113,6/18/11,Delivery Truck,Pennsylvania,0.08,1,8,0.75,-292,"1,171",39,151
Chairs  and  Chairmats,Middletown,Jumbo Drum,North America,United States of America,2492,Billie Chan,Consumer,Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,8/4/13,86896,Critical,6457,East,14584,8/5/13,Delivery Truck,Connecticut,0.08,1,1,0.61,-26,142,42,101
Chairs  and  Chairmats,Sanford,Jumbo Drum,North America,United States of America,3136,Lee Hancock,Consumer,Furniture,"Global Leather  and  Oak Executive Chair, Burgundy",8/22/10,86791,Critical,4073,East,2240,8/22/10,Delivery Truck,Maine,0.03,1,23,0.77,-678,"3,596",60,151
Chairs  and  Chairmats,Gaithersburg,Jumbo Drum,North America,United States of America,2776,April Henson,Consumer,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1/12/10,91228,Critical,20877,East,156,1/15/10,Delivery Truck,Maryland,0.03,1,11,0.61,"2,692","3,902",30,351
Chairs  and  Chairmats,Colonia,Jumbo Drum,North America,United States of America,712,Katie Wood,Consumer,Furniture,Hon Every-Day Chair Series Swivel Task Chairs,7/23/11,87982,Critical,7067,East,5448,7/24/11,Delivery Truck,New Jersey,0.02,1,4,0.64,-64,489,30,121
Chairs  and  Chairmats,New York City,Jumbo Drum,North America,United States of America,2571,Rosemary OBrien,Consumer,Furniture,Global Troy Executive Leather Low-Back Tilter,10/25/10,50656,Critical,10165,East,2829,10/26/10,Delivery Truck,New York,0.01,1,56,0.6,"4,260","29,719",56,501
Bookcases,Tokyo,Jumbo Box,Asia,Japan,1664,Jessica Thompson,Consumer,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",12/16/10,48192,Critical,,International,3301,12/17/10,Delivery Truck,Tokyo,0,1,28,0.77,130,"4,252",36,141
Bookcases,Seoul,Jumbo Box,Asia,Republic of Korea,1477,Sean Hodges,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",8/14/12,17379,Critical,,International,9735,8/16/12,Delivery Truck,Soul,0.08,1,57,0.76,749,"6,326",59,115
Tables,Beijing,Jumbo Box,Asia,China,2625,April S Wright,Consumer,Furniture,Bretford Rectangular Conference Table Tops,2/27/13,56261,Critical,,International,12136,3/1/13,Delivery Truck,Beijing,0.02,1,43,0.74,484,"16,887",86,376
Tables,Chengdu,Jumbo Box,Asia,China,1897,Johnny Woodward,Consumer,Furniture,Iceberg OfficeWorks 42 Round Tables,4/6/11,56003,Critical,,International,4375,4/7/11,Delivery Truck,Sichuan Sheng,0.1,1,13,0.7,-365,"1,835",16,151
Tables,Delhi,Jumbo Box,Asia,India,2199,Thelma Adcock,Consumer,Furniture,Hon 94000 Series Round Tables,8/10/10,45731,Critical,,International,2112,8/11/10,Delivery Truck,National Capital Territory of Delhi,0.04,1,79,0.76,102,"22,784",154,296
Tables,Jakarta,Jumbo Box,Asia,Indonesia,1944,Frances Batchelor,Consumer,Furniture,Iceberg OfficeWorks 42 Round Tables,6/16/11,29730,Critical,,International,5107,6/18/11,Delivery Truck,Jakarta,0.08,1,32,0.75,-547,"4,682",39,151
Tables,Busan,Jumbo Box,Asia,Republic of Korea,1787,Debbie Carver,Consumer,Furniture,BPI Conference Tables,12/24/11,5538,Critical,,International,7181,12/25/11,Delivery Truck,Busan,0.03,1,24,0.71,501,"3,582",80,146
Tables,Seoul,Jumbo Box,Asia,Republic of Korea,590,Courtney McBride,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,2/15/13,46119,Critical,,International,11972,2/16/13,Delivery Truck,Soul,0.07,1,46,0.79,-575,"18,824",75,417
Chairs  and  Chairmats,Beijing,Jumbo Drum,Asia,China,3152,Ethel Branch,Consumer,Furniture,Novimex Swivel Fabric Task Chair,12/12/11,47844,Critical,,International,7054,12/14/11,Delivery Truck,Beijing,0.1,1,76,0.74,217,"10,796",30,151
Chairs  and  Chairmats,Shanghai,Jumbo Drum,Asia,China,41,Bruce Singleton,Consumer,Furniture,Global Deluxe Office Fabric Chairs,8/30/13,52230,Critical,,International,14985,9/1/13,Delivery Truck,Shanghai Shi,0.06,1,58,0.58,"1,047","5,402",58,96
Chairs  and  Chairmats,Tianjin,Jumbo Drum,Asia,China,3130,Kristen Brown,Consumer,Furniture,"Global Leather  and  Oak Executive Chair, Burgundy",8/22/13,41825,Critical,,International,14880,8/22/13,Delivery Truck,Tianjin Shi,0.03,1,100,0.77,"1,721","15,635",60,151
Chairs  and  Chairmats,Osaka,Jumbo Drum,Asia,Japan,567,Kevin Ennis,Consumer,Furniture,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,3/4/10,28291,Critical,,International,626,3/5/10,Delivery Truck,_saka,0.02,1,14,0.78,-478,"3,951",57,281
Chairs  and  Chairmats,Seoul,Jumbo Drum,Asia,Republic of Korea,882,Rosemary Hedrick,Consumer,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1/5/10,57253,Critical,,International,41,1/7/10,Delivery Truck,Soul,0.06,1,29,0.64,"-2,174",654,53,21
Chairs  and  Chairmats,Riyadh,Jumbo Drum,Asia,Saudi Arabia,2461,Audrey Cain,Consumer,Furniture,"Global Leather Task Chair, Black",6/11/12,4871,Critical,,International,9066,6/13/12,Delivery Truck,Ar Riyad,0.02,1,13,0.66,-323,"1,261",42,90
Tables,Paris,Jumbo Box,Europe,France,2636,Joann Thomas,Consumer,Furniture,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3/7/12,52578,Critical,75004,International,7995,3/9/12,Delivery Truck,le-de-France,0.09,1,43,0.68,835,"7,051",29,218
Tables,Dublin,Jumbo Box,Europe,Ireland,1388,Carla Starr,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,2/20/12,21475,Critical,,International,7837,2/21/12,Delivery Truck,Dublin,0.06,1,17,0.79,-296,"5,618",75,417
Chairs  and  Chairmats,Paris,Jumbo Drum,Europe,France,2331,Cathy Shea,Consumer,Furniture,Hon Valutask Swivel Chairs,9/10/12,55809,Critical,75006,International,10021,9/12/12,Delivery Truck,le-de-France,0.03,1,4,0.69,-181,501,45,101
Office Furnishings,Prague,Jumbo Drum,Europe,Czech Republic,2875,Francis Henderson,Consumer,Furniture,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",7/23/13,57574,Critical,,International,14401,7/24/13,Delivery Truck,Praha,0.07,1,28,0.62,-451,653,16,24
Bookcases,Sao Paulo,Jumbo Box,South America,Brazil,1973,Francis Ayers,Consumer,Furniture,"Hon Metal Bookcases, Putty",1/10/10,55367,Critical,,International,122,1/11/10,Delivery Truck,Sa_o Paulo,0.05,1,31,0.56,"-1,098","2,137",47,71
Bookcases,Bogot,Jumbo Box,South America,Colombia,1516,Laura Garrett,Consumer,Furniture,Sauder Camden County Collection Library,11/10/13,9602,Critical,,International,16113,11/11/13,Delivery Truck,Bogot D.C.,0.05,1,54,0.65,"3,189","6,202",51,115
Chairs  and  Chairmats,Fortaleza,Jumbo Drum,South America,Brazil,1460,Constance Beach,Consumer,Furniture,Hon GuestStacker Chair,2/12/11,58502,Critical,,International,3869,2/14/11,Delivery Truck,Ceara,0.03,1,23,0.59,"1,009","5,186",28,227
Chairs  and  Chairmats,Recife,Jumbo Drum,South America,Brazil,3227,Lynda Abrams,Consumer,Furniture,Global Troy Executive Leather Low-Back Tilter,2/6/12,2053,Critical,,International,7655,2/7/12,Delivery Truck,Pernambuco,0.01,1,44,0.6,"5,604","21,823",126,501
Chairs  and  Chairmats,Rio de Janeiro,Jumbo Drum,South America,Brazil,1555,Nicholas Watts Cassidy,Consumer,Furniture,Hon GuestStacker Chair,4/15/13,58818,Critical,,International,12875,4/17/13,Delivery Truck,Rio de Janeiro,0.1,1,20,0.59,662,"4,353",28,227
Chairs  and  Chairmats,Sao Paulo,Jumbo Drum,South America,Brazil,2774,Harvey Upchurch,Consumer,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1/12/10,43362,Critical,,International,149,1/15/10,Delivery Truck,Sa_o Paulo,0.03,1,45,0.61,"1,711","15,963",30,351
Chairs  and  Chairmats,Bogot,Jumbo Drum,South America,Colombia,1516,Laura Garrett,Consumer,Furniture,"Global High-Back Leather Tilter, Burgundy",12/14/10,38882,Critical,,International,3286,12/15/10,Delivery Truck,Bogot D.C.,0.1,1,68,0.74,"1,350","8,108",70,123
Tables,Bogot,Jumbo Drum,South America,Colombia,2446,Kristin Coble,Consumer,Furniture,Hon Non-Folding Utility Tables,5/3/11,2656,Critical,,International,4619,5/4/11,Delivery Truck,Bogot D.C.,0.05,1,4,0.55,-215,697,60,159
Chairs  and  Chairmats,Sarasota,Jumbo Drum,North America,United States of America,3156,Norman Ward,Consumer,Furniture,Novimex Swivel Fabric Task Chair,12/12/13,86912,Critical,34239,South,16580,12/14/13,Delivery Truck,Florida,0.1,1,21,0.74,90,"2,983",30,151
Chairs  and  Chairmats,Alexandria,Jumbo Drum,North America,United States of America,2462,Ray Cook,Consumer,Furniture,"Global Leather Task Chair, Black",6/11/12,88717,Critical,71301,South,9072,6/13/12,Delivery Truck,Louisiana,0.02,1,3,0.66,894,291,42,90
Chairs  and  Chairmats,Columbus,Jumbo Drum,North America,United States of America,568,Peter McConnell,Consumer,Furniture,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,3/4/10,88879,Critical,39701,South,629,3/5/10,Delivery Truck,Mississippi,0.02,1,4,0.78,"1,142","1,129",57,281
Chairs  and  Chairmats,Blacksburg,Jumbo Drum,North America,United States of America,1559,Zachary Maynard,Consumer,Furniture,Hon GuestStacker Chair,4/15/10,87424,Critical,24060,South,1055,4/17/10,Delivery Truck,Virginia,0.1,1,5,0.59,-391,"1,088",28,227
Office Furnishings,Poinciana,Jumbo Drum,North America,United States of America,2876,Lisa Roberson,Consumer,Furniture,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",7/23/13,89646,Critical,34759,South,14403,7/24/13,Delivery Truck,Florida,0.07,1,7,0.62,-116,163,16,24
Bookcases,Laguna Hills,Jumbo Box,North America,United States of America,1665,Elsie Pridgen,Consumer,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",12/16/13,90684,Critical,92653,West,16630,12/17/13,Delivery Truck,California,0,1,8,0.77,-58,"1,215",36,141
Tables,Sunnyvale,Jumbo Box,North America,United States of America,1391,Carolyn Greer,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,2/20/12,88737,Critical,94086,West,7845,2/21/12,Delivery Truck,California,0.06,1,4,0.79,-296,"1,322",75,417
Tables,Menlo Park,Jumbo Box,North America,United States of America,2626,Lillian Fischer,Consumer,Furniture,Bretford Rectangular Conference Table Tops,2/27/13,90929,Critical,94025,West,12149,3/1/13,Delivery Truck,California,0.02,1,11,0.74,484,"4,320",86,376
Tables,Los Angeles,Jumbo Box,North America,United States of America,699,Jenny Gold,Consumer,Furniture,Hon iLevel Computer Training Table,12/13/13,4771,Critical,90041,West,16589,12/15/13,Delivery Truck,California,0.04,1,8,0.65,-126,272,46,32
Tables,Santa Monica,Jumbo Box,North America,United States of America,701,Christine Gardner,Consumer,Furniture,Hon iLevel Computer Training Table,12/13/13,87992,Critical,90405,West,16592,12/15/13,Delivery Truck,California,0.04,1,2,0.65,-42,68,46,32
Tables,Boise,Jumbo Box,North America,United States of America,2638,Alicia Wood Shah,Consumer,Furniture,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3/7/12,90954,Critical,83704,West,8001,3/9/12,Delivery Truck,Idaho,0.09,1,11,0.68,835,"1,804",29,218
Chairs  and  Chairmats,Davis,Jumbo Drum,North America,United States of America,2570,Yvonne Stephens,Consumer,Furniture,Global Troy Executive Leather Low-Back Tilter,10/25/10,90327,Critical,95616,West,2833,10/26/10,Delivery Truck,California,0.01,1,14,0.6,"4,899","7,430",56,501
Chairs  and  Chairmats,Los Angeles,Jumbo Drum,North America,United States of America,699,Jenny Gold,Consumer,Furniture,Hon Every-Day Chair Series Swivel Task Chairs,7/23/11,26784,Critical,90041,West,5441,7/24/11,Delivery Truck,California,0.02,1,14,0.64,-64,"1,711",30,121
Chairs  and  Chairmats,Los Angeles,Jumbo Drum,North America,United States of America,2491,Sean N Boyer,Consumer,Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,8/4/11,56166,Critical,90045,West,5611,8/5/11,Delivery Truck,California,0.08,1,2,0.61,-62,284,42,101
Chairs  and  Chairmats,Redmond,Jumbo Drum,North America,United States of America,43,Theodore Moran,Consumer,Furniture,Global Deluxe Office Fabric Chairs,8/30/13,91457,Critical,98052,West,14995,9/1/13,Delivery Truck,Washington,0.06,1,15,0.58,-336,"1,397",58,96
Bookcases,Trenton,Jumbo Box,North America,United States of America,3157,Bernard Boyette,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1/19/12,86905,High,48183,Central,7479,1/22/12,Delivery Truck,Michigan,0.05,1,4,0.76,-776,479,59,115
Bookcases,Pasadena,Jumbo Box,North America,United States of America,3141,Jerome McIntosh,Consumer,Furniture,OSullivan Living Dimensions 2-Shelf Bookcases,1/22/11,86370,High,77506,Central,3648,1/23/11,Delivery Truck,Texas,0.02,1,10,0.75,"-1,431","1,260",59,121
Tables,Carol Stream,Jumbo Box,North America,United States of America,1136,Carmen McPherson,Consumer,Furniture,Hon 94000 Series Round Tables,8/17/13,87944,High,60188,Central,14793,8/18/13,Delivery Truck,Illinois,0.06,1,10,0.76,-42,"3,034",54,296
Tables,Detroit,Jumbo Box,North America,United States of America,2756,Ruth McConnell Young,Consumer,Furniture,Bretford CR4500 Series Slim Rectangular Table,11/18/12,32647,High,48205,Central,10764,11/20/12,Delivery Truck,Michigan,0.06,1,92,0.66,349,"32,510",85,348
Tables,Trenton,Jumbo Box,North America,United States of America,3157,Bernard Boyette,Consumer,Furniture,Bush Advantage Collection Round Conference Table,1/19/12,86905,High,48183,Central,7480,1/22/12,Delivery Truck,Michigan,0.03,1,1,0.64,-281,232,52,213
Tables,Enid,Jumbo Box,North America,United States of America,1748,Helen Simpson,Consumer,Furniture,Bevis 36 x 72 Conference Tables,12/12/10,87245,High,73703,Central,3266,12/14/10,Delivery Truck,Oklahoma,0.04,1,1,0.63,-93,151,52,124
Chairs  and  Chairmats,Olathe,Jumbo Drum,North America,United States of America,180,Harold Briggs,Consumer,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,11/4/13,90784,High,66062,Central,16045,11/4/13,Delivery Truck,Kansas,0.09,1,21,0.56,"2,004","5,731",49,292
Chairs  and  Chairmats,Oakdale,Jumbo Drum,North America,United States of America,3069,Tiffany Merrill,Consumer,Furniture,Hon Every-Day Chair Series Swivel Task Chairs,6/1/10,88191,High,55128,Central,1488,6/3/10,Delivery Truck,Minnesota,0.03,1,15,0.64,638,"1,894",30,121
Chairs  and  Chairmats,Owasso,Jumbo Drum,North America,United States of America,2643,Vincent Cash Bryant,Consumer,Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs,7/9/13,87510,High,74055,Central,14174,7/11/13,Delivery Truck,Oklahoma,0,1,9,0.57,"2,166","3,140",59,321
Chairs  and  Chairmats,Dallas,Jumbo Drum,North America,United States of America,1106,Maxine Collier Grady,Consumer,Furniture,Hon Multipurpose Stacking Arm Chairs,12/10/12,33219,High,75220,Central,11034,12/11/12,Delivery Truck,Texas,0,1,64,0.59,765,"14,684",64,217
Chairs  and  Chairmats,Laredo,Jumbo Drum,North America,United States of America,1109,Dennis Welch,Consumer,Furniture,Hon Multipurpose Stacking Arm Chairs,12/10/12,86418,High,78041,Central,11044,12/11/12,Delivery Truck,Texas,0,1,16,0.59,"1,147","3,671",64,217
Bookcases,Union City,Jumbo Box,North America,United States of America,1159,Arlene Weeks,Consumer,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",5/20/10,90854,High,7086,East,1370,5/21/10,Delivery Truck,New Jersey,0.04,1,1,0.62,-153,111,36,101
Tables,Parkville,Jumbo Box,North America,United States of America,304,Alexandra Duke,Consumer,Furniture,"Bevis Round Conference Table Top, X-Base",2/27/13,87066,High,21234,East,12142,3/1/13,Delivery Truck,Maryland,0.06,1,12,0.74,-433,"2,151",29,179
Tables,Middle River,Jumbo Box,North America,United States of America,2963,Frances Johnson,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5/31/13,88617,High,21220,East,13639,6/2/13,Delivery Truck,Maryland,0.02,1,13,0.79,"-1,009","5,343",75,417
Tables,Hagerstown,Jumbo Box,North America,United States of America,2923,Lynne Griffith,Consumer,Furniture,Hon 94000 Series Round Tables,6/2/11,86594,High,21740,East,4976,6/2/11,Delivery Truck,Maryland,0.04,1,10,0.76,-573,"2,949",54,296
Tables,Hilliard,Jumbo Box,North America,United States of America,3096,Mike Howard,Consumer,Furniture,Bevis Boat-Shaped Conference Table,5/24/10,86221,High,43026,East,1419,5/25/10,Delivery Truck,Ohio,0.02,1,9,0.75,-633,"2,495",63,262
Tables,Austintown,Jumbo Box,North America,United States of America,3067,Carole Miller,Consumer,Furniture,Bush Advantage Collection Racetrack Conference Table,12/5/11,91378,High,44515,East,6992,12/6/11,Delivery Truck,Ohio,0.07,1,10,0.67,-513,"3,995",110,424
Tables,Drexel Hill,Jumbo Box,North America,United States of America,1365,Edward Hampton,Consumer,Furniture,Bevis Boat-Shaped Conference Table,7/3/11,89996,High,19026,East,5285,7/3/11,Delivery Truck,Pennsylvania,0.01,1,6,0.75,-633,"1,591",63,262
Tables,Charleston,Jumbo Box,North America,United States of America,3402,Frederick Cole,Consumer,Furniture,Bush Advantage Collection Round Conference Table,4/12/11,87531,High,25314,East,4449,4/12/11,Delivery Truck,West Virginia,0.08,1,10,0.64,-514,"1,969",52,213
Chairs  and  Chairmats,Perry Hall,Jumbo Drum,North America,United States of America,305,Gayle Christian,Consumer,Furniture,Global Troy Executive Leather Low-Back Tilter,1/6/12,87062,High,21128,East,7346,1/8/12,Delivery Truck,Maryland,0.1,1,9,0.6,"2,590","4,180",26,501
Chairs  and  Chairmats,Upper Saint Clair,Jumbo Drum,North America,United States of America,1902,Sara Sykes Davies,Consumer,Furniture,Hon Valutask Swivel Chairs,9/9/11,87446,High,15241,East,5974,9/10/11,Delivery Truck,Pennsylvania,0.05,1,16,0.69,-728,"1,601",45,101
Tables,Buffalo,Jumbo Drum,North America,United States of America,765,Ruby Goodwin,Consumer,Furniture,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",5/12/13,90944,High,14215,East,13333,5/14/13,Delivery Truck,New York,0.02,1,3,0.56,65,223,60,85
Chairs  and  Chairmats,Cairo,Jumbo Drum,Africa,Egypt,3392,Debra Dickson,Consumer,Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,8/21/12,2882,High,,International,9808,8/23/12,Delivery Truck,Al Qahirah,0.03,1,45,0.62,"3,731","7,577",30,161
Bookcases,Beijing,Jumbo Box,Asia,China,3152,Ethel Branch,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1/19/12,49987,High,,International,7473,1/22/12,Delivery Truck,Beijing,0.05,1,17,0.76,"-1,002","2,035",59,115
Bookcases,Pune,Jumbo Box,Asia,India,2412,Laura Duke,Consumer,Furniture,Sauder Camden County Collection Library,2/14/11,12259,High,,International,3879,2/16/11,Delivery Truck,Maharashtra,0.07,1,45,0.65,-899,"5,008",51,115
Bookcases,Kolkata,Jumbo Box,Asia,India,3140,Eric Stark,Consumer,Furniture,OSullivan Living Dimensions 2-Shelf Bookcases,1/22/11,640,High,,International,3640,1/23/11,Delivery Truck,West Bengal,0.02,1,39,0.75,"-1,846","4,914",59,121
Bookcases,Osaka,Jumbo Box,Asia,Japan,1154,Marjorie Bailey,Consumer,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",5/20/13,20903,High,,International,13438,5/21/13,Delivery Truck,_saka,0.04,1,5,0.62,-153,554,36,101
Bookcases,Moscow,Jumbo Box,Asia,Russian Federation,3336,Donald Spears,Consumer,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1/3/11,29058,High,,International,3456,1/5/11,Delivery Truck,Moskva (city),0.07,1,33,0.62,"2,853","28,389",45,881
Tables,Beijing,Jumbo Box,Asia,China,2961,Bobby Lawson,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5/31/13,33029,High,,International,13632,6/2/13,Delivery Truck,Beijing,0.02,1,51,0.79,"-1,009","20,960",75,417
Tables,Beijing,Jumbo Box,Asia,China,3152,Ethel Branch,Consumer,Furniture,Bush Advantage Collection Round Conference Table,1/19/12,49987,High,,International,7474,1/22/12,Delivery Truck,Beijing,0.03,1,4,0.64,-362,927,52,213
Tables,Guangzhou,Jumbo Box,Asia,China,1362,Jerome Woodruff,Consumer,Furniture,Bevis Boat-Shaped Conference Table,7/3/11,45029,High,,International,5271,7/3/11,Delivery Truck,Guangdong Sheng,0.01,1,24,0.75,-633,"6,365",63,262
Tables,Guangzhou,Jumbo Box,Asia,China,1134,Ray Glass,Consumer,Furniture,Hon 94000 Series Round Tables,8/17/13,38884,High,,International,14787,8/18/13,Delivery Truck,Guangdong Sheng,0.06,1,40,0.76,129,"12,136",54,296
Tables,Shanghai,Jumbo Box,Asia,China,1666,Joshua Woodard,Consumer,Furniture,Bevis 36 x 72 Conference Tables,4/13/13,39876,High,,International,12825,4/15/13,Delivery Truck,Shanghai Shi,0.04,1,41,0.63,-593,"5,001",52,124
Tables,Osaka,Jumbo Box,Asia,Japan,3065,Kelly Fox,Consumer,Furniture,Bush Advantage Collection Racetrack Conference Table,12/5/11,54950,High,,International,6979,12/6/11,Delivery Truck,_saka,0.07,1,41,0.67,769,"16,381",110,424
Tables,Seoul,Jumbo Box,Asia,Republic of Korea,2921,Dean Shapiro Britt,Consumer,Furniture,Hon 94000 Series Round Tables,6/2/11,898,High,,International,4972,6/2/11,Delivery Truck,Soul,0.04,1,39,0.76,"-1,074","11,503",54,296
Tables,Riyadh,Jumbo Box,Asia,Saudi Arabia,2461,Audrey Cain,Consumer,Furniture,Hon Rectangular Conference Tables,5/11/10,56197,High,,International,1270,5/11/10,Delivery Truck,Ar Riyad,0.08,1,65,0.68,"1,366","11,577",32,228
Chairs  and  Chairmats,Chongqing,Jumbo Drum,Asia,China,1177,Randall Beasley,Consumer,Furniture,Global Leather Executive Chair,4/9/13,8646,High,,International,12738,4/11/13,Delivery Truck,Chongqing Shi,0.06,1,41,0.55,"4,162","14,378",39,351
Chairs  and  Chairmats,Chengdu,Jumbo Drum,Asia,China,1897,Johnny Woodward,Consumer,Furniture,Hon Valutask Swivel Chairs,9/9/11,59428,High,,International,5968,9/10/11,Delivery Truck,Sichuan Sheng,0.05,1,66,0.69,-728,"6,604",45,101
Chairs  and  Chairmats,Hangzhou,Jumbo Drum,Asia,China,179,Ron Werner Patel,Consumer,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,11/4/13,37798,High,,International,16043,11/4/13,Delivery Truck,Zhejiang Sheng,0.09,1,83,0.56,"11,373","22,651",49,292
Chairs  and  Chairmats,Hanoi,Jumbo Drum,Asia,Viet Nam,3070,Helen Blanchard Cooper,Consumer,Furniture,Hon Every-Day Chair Series Swivel Task Chairs,6/1/13,21766,High,,International,13647,6/3/13,Delivery Truck,Hanoi,0.03,1,62,0.64,"2,393","7,830",30,121
